date, meadow height, meadow width, number of waterholes, max iterations number, min cats on start, min cows on start, min mouses on start, min sheeps on start, min wolves on start, max cats on start, max cows on start, max mouses on start, max sheeps on start, max wolves on start, min cats at the end, min cows at the end, min mouses at the end, min sheeps at the end, min wolves at the end, max cats at the end, max cows at the end, max mouses at the end, max sheeps at the end, max wolves at the end, created cheese, max number of cheese, eaten cheese, destroyed cheese, created grass, max number of grass, eaten grass, destroyed grass, current population of cats, current population of cows, current population of mouses, current population of sheeps, current population of wolves, max population of cats, max population of cows, max population of mouses, max population of sheeps, max population of wolves
06.06.2020 17:56:29, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 93, 22, 26, 9, 67, 5, 5, 5, 2, 6, 7, 5, 5, 5, 6
06.06.2020 17:56:37, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 13, 23, 8, 47, 5, 21, 14, 53, 5, 3, 4, 5, 5, 7, 5, 5, 5, 5
06.06.2020 17:56:47, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 16, 23, 9, 80, 8, 25, 16, 81, 4, 2, 4, 8, 5, 5, 5, 5, 8, 5
06.06.2020 17:57:14, 10, 10, 10, 100, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 10, 25, 31, 457, 24, 25, 32, 456, 0, 0, 0, 0, 0, 5, 5, 5, 5, 5
06.06.2020 17:58:04, 10, 10, 10, 100, 15, 5, 5, 5, 5, 15, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -3, 26, 4, 493, -323, 18, 323, 516, 0, 221, 0, 0, 0, 15, 253, 5, 5, 5
06.06.2020 17:58:47, 10, 10, 10, 100, 20, 5, 5, 5, 5, 20, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -11, 20, 11, 507, -23, 17, 23, 503, 189, 0, 0, 0, 46, 231, 5, 5, 8, 50
06.06.2020 18:00:12, 10, 10, 10, 1000, 20, 5, 5, 5, 5, 20, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -14, 17, 14, 1184, -43, 13, 43, 1186, 0, 0, 0, 0, 254, 202, 5, 6, 16, 256
06.06.2020 18:00:50, 10, 10, 10, 20, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6, 20, 13, 93, 22, 26, 9, 67, 5, 5, 5, 2, 6, 7, 5, 5, 5, 6
06.06.2020 18:02:38, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:03:01, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 8, 26, 21, 456, -63, 19, 97, 491, 0, 0, 0, 23, 2, 8, 9, 8, 23, 10
06.06.2020 18:07:49, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:10:48, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -313, 13, 313, 486, -63, 18, 63, 524, 0, 0, 162, 0, 83, 8, 11, 224, 10, 83
06.06.2020 18:11:18, 10, 10, 20, 100, 8, 8, 8, 8, 8, 10, 10, 10, 10, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -36, 13, 43, 157, -30, 18, 46, 190, 1, 4, 61, 9, 10, 8, 11, 61, 10, 11
